gel_from_2_251	gel_from_2_251	gel_from_2_251	
Force	Distance	Time	
g	mm	sec	

0.0862526	0	0	
0.0988749	0	0.005	
0.12412	0	0.01	
0.172505	0	0.015	
0.18092	0	0.02	
0.168298	0	0.025	
0.122016	0	0.03	
0.10729	0	0.035	
0.10729	0	0.04	
0.0820452	0	0.045	
0.0841489	0	0.05	
0.113601	0	0.055	
0.161987	0	0.06	
0.195646	0	0.065	
0.18092	0	0.07	
0.161987	0	0.075	
0.155675	0	0.08	
0.115705	0	0.085	
0.0862526	0	0.09	
0.0820452	0	0.095	
0.147261	0	0.1	
0.16409	0.001	0.105	
0.16409	0.001	0.11	
0.18092	0.001	0.115	
0.189335	0.001	0.12	
0.12412	0.001	0.125	
0.0715266	0.001	0.13	
0.075734	0.001	0.135	
0.0967712	0.001	0.14	
0.0967712	0.001	0.145	
0.111497	0.001	0.15	
0.151468	0.001	0.155	
0.191439	0.001	0.16	
0.183024	0.001	0.165	
0.143053	0.001	0.17	
0.155675	0.001	0.175	
0.151468	0.001	0.18	
0.10729	0.001	0.185	
0.075734	0.001	0.19	
0.103082	0.001	0.195	
0.143053	0.001	0.2	
0.155675	0.002	0.205	
0.153572	0.002	0.21	
0.208268	0.002	0.215	
0.212476	0.002	0.22	
0.143053	0.002	0.225	
0.0589042	0.002	0.23	
0.0883563	0.002	0.235	
0.12412	0.002	0.24	
0.103082	0.002	0.245	
0.0862526	0.002	0.25	
0.138846	0.002	0.255	
0.191439	0.002	0.26	
0.157779	0.002	0.265	
0.103082	0.002	0.27	
0.103082	0.002	0.275	
0.113601	0.002	0.28	
0.0715266	0.002	0.285	
0.0631117	0.002	0.29	
0.128327	0.002	0.295	
0.178816	0.002	0.3	
0.206165	0.003	0.305	
0.212476	0.003	0.31	
0.281899	0.003	0.315	
0.281899	0.003	0.32	
0.132534	0.003	0.325	
0.0399707	0.003	0.33	
0.109394	0.003	0.335	
0.151468	0.003	0.34	
0.0883563	0.003	0.345	
0.0715266	0.003	0.35	
0.153572	0.003	0.355	
0.185128	0.003	0.36	
0.103082	0.003	0.365	
0.0483856	0.003	0.37	
0.0967712	0.003	0.375	
0.132534	0.003	0.38	
0.09046	0.003	0.385	
0.0967712	0.003	0.39	
0.199854	0.003	0.395	
0.222995	0.003	0.4	
0.16409	0.004	0.405	
0.170401	0.004	0.41	
0.265069	0.004	0.415	
0.237721	0.004	0.42	
0.0715266	0.004	0.425	
0	0.004	0.43	
