water2	water2	water2	
Force	Distance	Time	
g	mm	sec	

0.0526172	0	0	
0.0399891	0.002	0.005	
0.0547219	0.004	0.01	
0.117863	0.007	0.015	
0.229411	0.009	0.02	
0.4041	0.012	0.025	
0.433566	0.014	0.03	
0.412519	0.017	0.035	
0.374634	0.019	0.04	
0.351483	0.022	0.045	
0.271505	0.024	0.05	
0.162061	0.027	0.055	
0.130491	0.029	0.06	
0.122072	0.032	0.065	
0.0547219	0.034	0.07	
0.0105234	0.037	0.075	
0.0378844	0.039	0.08	
0.0315703	0.042	0.085	
0.0210469	0.044	0.09	
0.00420938	0.047	0.095	
0.0484078	0.049	0.1	
0.0989203	0.052	0.105	
0.0610359	0.054	0.11	
0.0736641	0.057	0.115	
0.115758	0.059	0.12	
0.101025	0.062	0.125	
0.0652453	0.064	0.13	
0.0399891	0.067	0.135	
0.0526172	0.069	0.14	
0.0778734	0.072	0.145	
0.0420938	0.074	0.15	
0.0568266	0.077	0.155	
0.0694547	0.079	0.16	
0.0589313	0.082	0.165	
0.0505125	0.084	0.17	
0.0505125	0.087	0.175	
0.0757688	0.089	0.18	
0.10313	0.092	0.185	
0.101025	0.094	0.19	
0.10313	0.097	0.195	
0.130491	0.099	0.2	
0.126281	0.102	0.205	
0.105234	0.104	0.21	
0.0736641	0.107	0.215	
0.06735	0.109	0.22	
0.0715594	0.112	0.225	
0.0526172	0.114	0.23	
0.0526172	0.117	0.235	
0.06735	0.119	0.24	
0.0463031	0.122	0.245	
0.0315703	0.124	0.25	
0.0463031	0.127	0.255	
0.0441984	0.129	0.26	
0.0526172	0.132	0.265	
0.0399891	0.134	0.27	
0.0610359	0.137	0.275	
0.0883969	0.139	0.28	
0.0778734	0.142	0.285	
0.0905016	0.144	0.29	
0.0926063	0.147	0.295	
0.111548	0.149	0.3	
0.117863	0.152	0.305	
0.101025	0.154	0.31	
0.0905016	0.157	0.315	
0.136805	0.159	0.32	
0.101025	0.162	0.325	
0.0715594	0.164	0.33	
0.0631406	0.167	0.335	
0.0652453	0.169	0.34	
0.0378844	0.172	0.345	
-0.0168375	0.174	0.35	
0.00841875	0.177	0.355	
0.0210469	0.179	0.36	
0.0399891	0.182	0.365	
0.0589313	0.184	0.37	
0.0841875	0.187	0.375	
0.0989203	0.189	0.38	
0.101025	0.192	0.385	
0.0757688	0.194	0.39	
0.0820828	0.197	0.395	
0.0862922	0.199	0.4	
0.0631406	0.202	0.405	
0.0820828	0.204	0.41	
