frame_stiffness_no_sample1	frame_stiffness_no_sample1	frame_stiffness_no_sample1	
Force	Distance	Time	
g	mm	sec	

-0.0547304	0	0	
-0.0210502	0	0.005	
0.0294702	0	0.01	
0.0842006	0	0.015	
0.181031	0	0.02	
0.261022	0	0.025	
0.279967	0	0.03	
0.258917	0	0.035	
0.218922	0	0.04	
0.170506	0	0.045	
0.0421003	0	0.05	
-0.0989357	0	0.055	
-0.134721	0	0.06	
-0.0968307	0	0.065	
-0.0547304	0	0.07	
-0.0357853	0	0.075	
0.0336802	0	0.08	
0.128406	0	0.085	
0.136826	0	0.09	
0.0631505	0	0.095	
-0.00842006	0	0.1	
-0.00631505	0.001	0.105	
0.0189451	0.001	0.11	
0.0463103	0.001	0.115	
0.103146	0.001	0.12	
0.204186	0.001	0.125	
0.239972	0.001	0.13	
0.199976	0.001	0.135	
0.166296	0.001	0.14	
0.132616	0.001	0.145	
0.0442053	0.001	0.15	
-0.0905157	0.001	0.155	
-0.166296	0.001	0.16	
-0.0947257	0.001	0.165	
-0.0126301	0.001	0.17	
0.0547304	0.001	0.175	
0.0842006	0.001	0.18	
0.130511	0.001	0.185	
0.168401	0.001	0.19	
0.113671	0.001	0.195	
0.00631505	0.001	0.2	
-0.0505204	0.002	0.205	
-0.0315752	0.002	0.21	
0.0147351	0.002	0.215	
0.0820956	0.002	0.22	
0.149456	0.002	0.225	
0.193661	0.002	0.23	
0.193661	0.002	0.235	
0.122091	0.002	0.24	
0.0399953	0.002	0.245	
0.00210502	0.002	0.25	
-0.00842006	0.002	0.255	
0	0.002	0.26	
0.0484154	0.002	0.265	
0.145246	0.002	0.27	
0.162086	0.002	0.275	
0.0863056	0.002	0.28	
0.00631505	0.002	0.285	
-0.0189451	0.002	0.29	
-0.0568354	0.002	0.295	
-0.117881	0.002	0.3	
-0.107356	0.003	0.305	
-0.00421003	0.003	0.31	
0.132616	0.003	0.315	
0.212607	0.003	0.32	
0.206291	0.003	0.325	
0.233657	0.003	0.33	
0.252602	0.003	0.335	
0.149456	0.003	0.34	
0.0399953	0.003	0.345	
0.0231552	0.003	0.35	
0.0526254	0.003	0.355	
0.0610454	0.003	0.36	
0.0463103	0.003	0.365	
0.0968307	0.003	0.37	
0.115776	0.003	0.375	
0.0505204	0.003	0.38	
-0.0820956	0.003	0.385	
-0.0989357	0.003	0.39	
-0.0589404	0.003	0.395	
-0.0399953	0.003	0.4	
-0.0547304	0.004	0.405	
