Time (s)	Load (gf)	Displacement (mm)
0	0	0
0,014	0	0
0,027	0	0
0,042	0	0
0,055	0	0
0,071	0	0
0,085	0	0
0,097	0	0
0,11	0	0,002
0,129	0	0,004
0,15	0	0,006
0,165	0	0,008
0,189	0	0,01
0,211	0	0,013
0,241	0	0,015
0,259	0	0,016
0,271	0	0,017
0,283	0	0,019
0,301	0	0,02
0,318	0	0,022
0,336	0	0,024
0,348	0	0,025
0,36	0	0,026
0,372	0	0,027
0,384	0	0,028
0,396	0	0,03
0,408	0	0,031
0,42	0	0,033
0,438	0	0,034
0,457	0	0,036
0,47	0	0,037
0,482	0	0,038
0,494	0	0,04
0,512	0	0,041
0,524	0	0,043
0,54	0	0,044
0,554	0	0,046
0,571	0	0,047
0,583	0	0,049
0,603	0	0,05
0,616	0	0,052
0,632	0	0,053
0,644	0	0,054
0,656	0	0,055
0,668	0	0,058
0,69	0	0,059
0,702	0	0,06
0,714	0	0,061
0,726	0	0,062
0,738	0	0,064
0,75	0	0,065
0,762	0	0,066
0,774	0	0,067
0,786	0	0,07
0,815	0	0,071
0,827	0	0,073
0,839	0	0,074
0,862	0	0,078
0,892	0	0,079
0,905	0	0,08
0,917	0	0,082
0,941	0	0,084
0,956	0	0,085
0,968	0	0,086
0,98	0	0,088
0,992	0	0,089
1,004	0	0,09
1,016	0	0,093
1,04	0	0,094
1,054	0	0,105
1,165	0	0,107
1,185	0	0,109
1,204	0	0,111
1,226	0	0,113
1,246	0	0,115
1,267	0	0,117
1,288	0	0,119
1,302	0	0,121
1,324	0	0,122
1,339	0	0,124
1,355	0	0,127
1,387	0	0,13
1,409	0	0,132
1,431	0	0,133
1,445	0	0,136
1,473	0	0,138
1,493	0	0,141
1,523	0	0,143
1,543	0	0,145
1,562	0	0,147
1,585	0	0,148
1,598	0	0,15
1,616	0	0,152
1,643	0	0,155
1,665	0	0,157
1,685	0	0,159
1,703	0	0,161
1,722	0	0,162
1,736	0	0,164
1,753	0	0,166
1,773	0	0,169
1,8	0	0,171
1,822	0	0,173
1,85	0	0,175
1,862	0	0,176
1,876	0	0,178
1,895	0	0,18
1,912	0	0,182
1,937	0	0,184
1,955	0	0,186
1,972	0	0,188
1,991	0	0,19
2,011	0	0,191
2,024	0	0,193
2,042	0	0,195
2,066	0	0,198
2,088	0	0,199
2,11	0	0,202
2,133	0	0,204
2,148	0	0,205
2,164	0	0,208
2,191	0	0,21
2,215	0	0,212
2,235	0	0,214
2,257	0	0,216
2,273	0	0,218
2,288	0	0,219
2,307	0	0,222
2,334	0	0,225
2,362	0	0,226
2,379	0	0,228
2,397	0	0,23
2,417	0	0,232
2,438	0	0,234
2,459	0	0,237
2,479	0	0,239
2,498	0	0,24
2,515	0	0,242
2,532	0	0,244
2,556	0	0,247
2,587	0	0,249
2,605	0	0,252
2,631	0	0,253
2,646	0	0,256
2,672	0	0,258
2,689	0	0,26
2,706	0	0,261
2,723	0	0,263
2,739	0	0,265
2,765	0	0,268
2,787	0	0,269
2,8	0	0,271
2,828	0	0,274
2,849	0	0,276
2,87	0	0,278
2,889	0	0,279
2,908	0	0,282
2,931	0	0,284
2,95	0	0,286
2,974	0	0,288
2,994	0	0,29
3,015	0	0,292
3,036	0	0,294
3,052	0	0,296
3,071	0	0,298
3,092	0	0,3
3,117	0	0,302
3,131	0	0,304
3,152	0	0,306
3,177	0	0,308
3,194	0	0,31
3,208	0	0,311
3,229	0	0,314
3,249	0	0,315
3,267	0	0,317
3,285	0	0,319
3,305	0	0,321
3,318	0	0,323
3,341	0	0,325
3,363	0	0,327
3,379	0	0,329
3,402	0	0,33
3,42	0	0,332
3,432	0	0,333
3,444	0	0,334
3,457	0	0,336
3,469	0	0,337
3,481	0	0,338
3,493	0	0,339
3,505	0	0,34
3,517	0	0,342
3,529	0	0,343
3,541	0	0,344
3,553	0	0,345
3,569	0	0,348
3,588	0	0,35
3,619	0	0,353
3,642	0	0,354
3,654	0	0,355
3,666	0	0,356
3,678	0	0,358
3,69	0	0,359
3,702	0	0,36
3,714	0	0,361
3,726	0	0,362
3,738	0	0,364
3,756	0	0,365
3,768	0	0,367
3,78	0	0,368
3,798	0	0,37
3,815	0	0,372
3,833	0	0,374
3,858	0	0,376
3,876	0	0,378
3,888	0	0,379
3,901	0	0,381
3,92	0	0,383
3,941	0	0,384
3,953	0	0,385
3,965	0	0,386
3,977	0	0,388
3,998	0	0,39
4,015	0	0,391
4,028	0	0,392
4,04	0	0,394
4,052	0	0,395
4,064	0	0,396
4,076	0	0,397
4,088	0	0,399
4,106	0	0,402
4,131	0	0,404
4,157	0	0,406
4,17	0	0,407
4,182	0	0,408
4,194	0	0,409
4,206	0	0,41
4,218	0	0,412
4,23	0	0,413
4,242	0	0,414
4,261	0	0,416
4,273	0	0,417
4,286	0	0,418
4,298	0	0,42
4,317	0	0,422
4,339	0	0,426
4,368	0	0,427
4,381	0	0,429
4,401	0	0,43
4,414	0	0,431
4,426	0	0,433
4,444	0	0,434
4,456	0	0,436
4,476	0	0,437
4,488	0	0,438
4,5	0	0,44
4,513	0	0,441
4,525	0	0,442
4,537	0	0,443
4,549	0	0,445
4,569	0	0,447
4,583	0	0,448
4,6	0	0,45
4,617	0	0,452
4,639	0	0,455
4,664	0	0,457
4,683	0	0,458
4,696	0	0,46
4,718	0	0,462
4,731	0	0,465
4,762	0	0,467
4,785	0	0,469
4,805	0	0,471
4,826	0	0,472
4,84	0	0,474
4,865	0	0,477
4,884	0	0,479
4,911	0	0,482
4,935	0	0,484
4,949	0	0,485
4,962	0	0,487
4,984	0	0,489
5,005	0	0,491
5,029	0	0,494
5,059	0	0,496
5,079	0	0,498
5,091	0	0,5
5,12	0	0,503
5,147	0	0,505
5,166	0	0,506
5,178	0	0,507
5,19	0	0,509
5,202	0	0,51
5,214	0	0,511
5,226	0	0,512
5,238	0	0,514
5,25	0	0,515
5,262	0	0,516
5,274	0	0,517
5,286	0	0,518
5,298	0	0,52
5,31	0	0,521
5,327	0	0,522
5,34	0	0,524
5,363	0	0,526
5,381	0	0,528
5,393	0	0,529
5,405	0	0,531
5,427	0	0,532
5,445	0	0,534
5,459	0	0,536
5,473	0	0,537
5,485	0	0,539
5,504	0	0,541
5,523	0	0,542
5,538	0	0,544
5,55	0	0,545
5,562	0	0,546
5,574	0	0,548
5,591	0	0,549
5,603	0	0,551
5,624	0	0,553
5,647	0	0,554
5,659	0	0,555
5,671	0	0,557
5,683	0	0,559
5,712	0	0,561
5,725	0	0,562
5,743	0	0,564
5,756	0	0,565
5,769	0	0,566
5,786	0	0,568
5,798	0	0,57
5,81	0	0,573
5,844	0	0,574
5,857	0	0,576
5,878	0	0,578
5,891	0	0,58
5,922	0	0,582
5,944	0	0,584
5,958	0	0,585
5,971	0	0,586
5,983	0	0,588
5,995	0	0,589
6,007	0	0,59
6,019	0	0,592
6,031	0	0,593
6,043	0	0,594
6,055	0	0,595
6,067	0	0,596
6,079	0	0,598
6,091	0	0,599
6,103	0	0,601
6,122	0	0,604
6,149	0	0,606
6,177	0	0,608
6,194	0	0,609
6,207	0	0,61
6,225	0	0,612
6,238	0	0,614
6,26	0	0,616
6,277	0	0,617
6,29	0	0,618
6,302	0	0,62
6,314	0	0,621
6,326	0	0,622
6,338	0	0,624
6,362	0	0,626
6,381	0	0,628
6,393	0	0,629
6,405	0	0,632
6,432	0	0,634
6,451	0	0,635
6,464	0	0,637
6,486	0	0,638
6,504	0	0,64
6,517	0	0,641
6,529	0	0,642
6,547	0	0,644
6,559	0	0,647
6,582	0	0,648
6,595	0	0,649
6,607	0	0,651
6,63	0	0,654
6,661	0	0,657
6,688	0	0,659
6,703	0	0,66
6,715	0	0,661
6,727	0	0,662
6,739	0	0,663
6,751	0	0,664
6,763	0	0,666
6,775	0	0,667
6,787	0	0,668
6,799	0	0,67
6,821	0	0,674
6,852	0	0,675
6,865	0	0,676
6,877	0	0,677
6,889	0	0,679
6,91	0	0,681
6,928	0	0,684
6,952	0	0,685
6,965	0	0,687
6,983	0	0,688
6,995	0	0,69
7,017	0	0,691
7,033	0	0,693
7,045	0	0,694
7,057	0	0,695
7,069	0	0,697
7,088	0	0,699
7,112	0	0,702
7,132	0	0,703
7,15	0	0,706
7,181	0	0,708
7,196	0	0,709
7,208	0	0,71
7,22	0	0,712
7,232	0	0,713
7,244	0	0,715
7,264	0	0,716
7,276	0	0,717
7,288	0	0,718
7,3	0	0,721
7,339	0	0,724
7,357	0	0,725
7,369	0	0,726
7,381	0	0,729
7,405	0	0,73
7,423	0	0,733
