Time (s)	Load (gf)	Displacement (mm)
0	0	0
0,016	0	0
0,031	0	0
0,046	0	0
0,063	0	0
0,077	0	0
0,104	0	0,004
0,146	0	0,005
0,163	0	0,008
0,192	0	0,011
0,219	0	0,012
0,238	0	0,015
0,258	0	0,029
0,4	0	0,031
0,42	0	0,033
0,441	0	0,035
0,46	0	0,037
0,485	0	0,04
0,513	0	0,042
0,535	0	0,044
0,556	0	0,046
0,577	0	0,048
0,597	0	0,051
0,617	0	0,053
0,639	0	0,055
0,66	0	0,057
0,68	0	0,059
0,7	0	0,062
0,733	0	0,064
0,753	0	0,067
0,778	0	0,068
0,795	0	0,07
0,815	0	0,072
0,837	0	0,074
0,857	0	0,076
0,873	0	0,078
0,892	0	0,08
0,914	0	0,082
0,934	0	0,084
0,953	0	0,087
0,975	0	0,088
0,994	0	0,091
1,016	0	0,093
1,043	0	0,095
1,063	0	0,098
1,091	0	0,101
1,116	0	0,102
1,137	0	0,105
1,158	0	0,108
1,186	0	0,11
1,207	0	0,112
1,233	0	0,114
1,253	0	0,116
1,275	0	0,119
1,298	0	0,121
1,317	0	0,123
1,339	0	0,125
1,36	0	0,126
1,379	0	0,128
1,4	0	0,13
1,418	0	0,133
1,445	0	0,136
1,475	0	0,138
1,5	0	0,141
1,519	0	0,143
1,544	0	0,145
1,561	0	0,147
1,582	0	0,149
1,6	0	0,151
1,621	0	0,153
1,641	0	0,155
1,662	0	0,157
1,681	0	0,158
1,698	0	0,161
1,725	0	0,163
1,746	0	0,166
1,773	0	0,169
1,804	0	0,172
1,825	0	0,173
1,844	0	0,175
1,865	0	0,178
1,887	0	0,18
1,91	0	0,182
1,931	0	0,184
1,953	0	0,186
1,975	0	0,188
1,992	0	0,191
2,021	0	0,194
2,047	0	0,196
2,068	0	0,198
2,09	0	0,2
2,112	0	0,202
2,131	0	0,204
2,152	0	0,206
2,173	0	0,208
2,194	0	0,21
2,214	0	0,212
2,231	0	0,214
2,253	0	0,216
2,285	0	0,22
2,308	0	0,222
2,339	0	0,224
2,359	0	0,227
2,378	0	0,229
2,401	0	0,231
2,421	0	0,233
2,442	0	0,234
2,458	0	0,237
2,484	0	0,239
2,505	0	0,242
2,534	0	0,244
2,556	0	0,246
2,577	0	0,248
2,597	0	0,25
2,618	0	0,252
2,637	0	0,255
2,662	0	0,257
2,681	0	0,258
2,697	0	0,261
2,728	0	0,264
2,752	0	0,266
2,775	0	0,269
2,801	0	0,271
2,822	0	0,273
2,843	0	0,275
2,865	0	0,277
2,887	0	0,28
2,908	0	0,282
2,929	0	0,284
2,947	0	0,285
2,967	0	0,287
2,983	0	0,288
3,003	0	0,292
3,037	0	0,294
3,059	0	0,296
3,081	0	0,299
3,102	0	0,301
3,127	0	0,304
3,151	0	0,306
3,171	0	0,308
3,191	0	0,31
3,211	0	0,312
3,233	0	0,314
3,254	0	0,317
3,283	0	0,319
3,304	0	0,321
3,331	0	0,324
3,353	0	0,326
3,374	0	0,328
3,393	0	0,33
3,411	0	0,332
3,434	0	0,334
3,457	0	0,336
3,475	0	0,338
3,49	0	0,34
3,517	0	0,342
3,54	0	0,345
3,562	0	0,347
3,587	0	0,349
3,607	0	0,351
3,629	0	0,353
3,65	0	0,355
3,667	0	0,357
3,688	0	0,359
3,711	0	0,361
3,729	0	0,363
3,754	0	0,366
3,782	0	0,369
3,806	0	0,371
3,829	0	0,374
3,854	0	0,376
3,874	0	0,378
3,898	0	0,38
3,917	0	0,382
3,937	0	0,384
3,956	0	0,386
3,977	0	0,388
3,995	0	0,39
4,024	0	0,393
4,047	0	0,395
4,068	0	0,397
4,087	0	0,4
4,111	0	0,402
4,132	0	0,404
4,153	0	0,406
4,173	0	0,408
4,192	0	0,41
4,212	0	0,412
4,239	0	0,414
4,256	0	0,417
4,284	0	0,42
4,31	0	0,422
4,336	0	0,424
4,356	0	0,426
4,376	0	0,428
4,398	0	0,43
4,416	0	0,432
4,437	0	0,434
4,457	0	0,436
4,477	0	0,438
4,493	0	0,44
4,519	0	0,442
4,541	0	0,445
4,564	0	0,447
4,586	0	0,449
4,606	0	0,451
4,626	0	0,453
4,647	0	0,455
4,669	0	0,457
4,688	0	0,459
4,709	0	0,461
4,728	0	0,463
4,75	0	0,466
4,781	0	0,469
4,806	0	0,472
4,829	0	0,474
4,853	0	0,476
4,873	0	0,478
4,897	0	0,48
4,918	0	0,482
4,938	0	0,484
4,959	0	0,486
4,98	0	0,488
4,996	0	0,49
5,024	0	0,492
5,045	0	0,495
5,07	0	0,498
5,094	0	0,5
5,116	0	0,502
5,134	0	0,504
5,156	0	0,506
5,177	0	0,508
5,194	0	0,51
5,214	0	0,512
5,236	0	0,514
5,253	0	0,517
5,284	0	0,518
5,302	0	0,521
5,33	0	0,524
5,353	0	0,526
5,373	0	0,528
5,392	0	0,53
5,412	0	0,532
5,431	0	0,534
5,453	0	0,536
5,475	0	0,538
5,491	0	0,54
5,532	0	0,544
5,552	0	0,546
5,579	0	0,549
5,602	0	0,551
5,627	0	0,553
5,643	0	0,555
5,665	0	0,557
5,686	0	0,559
5,707	0	0,562
5,735	0	0,564
5,757	0	0,566
5,778	0	0,568
5,8	0	0,57
5,826	0	0,572
5,846	0	0,575
5,867	0	0,576
5,879	0	0,578
5,891	0	0,579
5,903	0	0,58
5,915	0	0,582
5,931	0	0,583
5,949	0	0,585
5,968	0	0,587
5,987	0	0,59
6,016	0	0,592
6,04	0	0,595
6,061	0	0,596
6,081	0	0,598
6,101	0	0,6
6,122	0	0,602
6,142	0	0,605
6,165	0	0,607
6,183	0	0,609
6,204	0	0,611
6,225	0	0,613
6,246	0	0,615
6,264	0	0,617
6,29	0	0,619
6,311	0	0,632
6,434	0	0,634
6,455	0	0,636
6,475	0	0,638
6,491	0	0,64
6,516	0	0,642
6,54	0	0,644
6,56	0	0,646
6,581	0	0,649
6,602	0	0,65
6,621	0	0,652
6,64	0	0,654
6,662	0	0,657
6,684	0	0,659
6,708	0	0,662
6,734	0	0,663
6,752	0	0,666
6,783	0	0,669
6,806	0	0,671
6,829	0	0,674
6,854	0	0,676
6,873	0	0,678
6,894	0	0,68
6,915	0	0,682
6,934	0	0,684
6,955	0	0,686
6,976	0	0,688
6,994	0	0,689
7,01	0	0,691
7,033	0	0,694
7,063	0	0,697
7,084	0	0,699
7,105	0	0,701
7,125	0	0,703
7,147	0	0,705
7,171	0	0,707
7,19	0	0,709
7,208	0	0,711
7,225	0	0,713
7,246	0	0,715
7,272	0	0,717
7,296	0	0,72
7,32	0	0,722
7,337	0	0,725
7,365	0	0,727
7,385	0	0,729
7,409	0	0,731
7,429	0	0,733
7,444	0	0,735
7,471	0	0,737
